gender,gender_binary,age,weight(kg),height(m),BMI,BMR,calories_to_maintain_weight,activity_level,ideal_weight
M,1,15,53.01355392,1.623644849,20.10966526,1502.108,2854.0052,1.9,57.99689711
M,1,15,48.59629961,1.599002444,19.00662235,1429.271,2429.7607,1.7,56.24979395
M,1,15,54.24469049,1.596738714,21.27597763,1505.522,2559.3874,1.7,56.09063946
F,0,15,48.92900625,1.620183337,18.63966371,1329.65,1595.58,1.2,57.749869
M,1,15,51.93090591,1.612637758,19.96881303,1481.772,2222.658,1.5,57.21321185
F,0,15,51.8083687,1.620673137,19.7246384,1357.375,1628.85,1.2,57.78479117
M,1,15,50.75421547,1.597860417,19.87899583,1458.263,2770.6997,1.9,56.16947407
M,1,15,50.22876545,1.612255008,19.32346632,1458.262,2187.393,1.5,57.18605664
M,1,15,51.1362103,1.587986678,20.27845344,1458.559,1750.2708,1.2,55.47743717
M,1,15,51.25935637,1.592863933,20.20299662,1462.685,2779.1015,1.9,55.8187412
M,1,15,54.29591515,1.625139289,20.55824219,1520.424,1824.5088,1.2,58.10370959
F,0,15,52.60588417,1.603387645,20.46243246,1362.092,1634.5104,1.2,56.55874268
F,0,15,48.47286315,1.613064506,18.62924279,1324.06,1588.872,1.2,57.24349621
M,1,15,53.70661507,1.597102648,21.05533336,1498.332,2846.8308,1.9,56.1162111
M,1,15,54.12727953,1.618182219,20.6709935,1514.635,1817.562,1.2,57.60730127
M,1,15,48.58510778,1.60558309,18.84679902,1432.408,2435.0936,1.7,56.7137353
M,1,15,52.05943686,1.611545702,20.04537631,1482.987,1779.5844,1.2,57.13575009
F,0,15,49.81260967,1.59008604,19.70144341,1333.016,1999.524,1.5,55.62421952
M,1,15,54.2835909,1.590686973,21.45354769,1503.029,1953.9377,1.3,55.66627101
M,1,15,47.86368384,1.59850489,18.73174265,1418.985,1844.6805,1.3,56.21479343
F,0,15,52.15399743,1.617929799,19.92362015,1360.226,1632.2712,1.2,57.58933036
M,1,15,51.22322628,1.619831024,19.52214364,1475.674,1770.8088,1.2,57.72475602
M,1,15,52.99718731,1.606886804,20.52495683,1493.505,1792.206,1.2,56.80587442
F,0,15,53.13154558,1.61348867,20.40894753,1368.856,1779.5128,1.3,57.27360514
M,1,15,50.90810108,1.598380479,19.92629537,1460.631,1752.7572,1.2,56.20604342
F,0,15,51.98811838,1.619936928,19.81106797,1358.975,2038.4625,1.5,57.73230432
M,1,15,52.97894022,1.618346275,20.22834544,1498.985,1798.782,1.2,57.61898265
M,1,15,51.19124454,1.615747711,19.60869041,1473.194,2799.0686,1.9,57.43409464
M,1,15,49.51915303,1.610947789,19.08140186,1447.886,2171.829,1.5,57.09336114
F,0,15,53.0965654,1.590041836,21.00145223,1364.534,1637.4408,1.2,55.62112689
M,1,15,50.70728794,1.601529367,19.76972234,1459.455,2772.9645,1.9,56.42771889
M,1,15,54.21427593,1.601009518,21.15075303,1507.24,1808.688,1.2,56.39109249
F,0,15,49.86411536,1.603947656,19.38240822,1335.867,1603.0404,1.2,56.59825783
F,0,15,47.71493277,1.621895422,18.13880284,1318.286,1713.7718,1.3,57.87198472
F,0,15,53.58688785,1.616552615,20.50590053,1373.748,1785.8724,1.3,57.49133186
F,0,15,53.40744289,1.614531716,20.48842731,1371.682,1783.1866,1.3,57.34767856
M,1,15,51.08115314,1.603804143,19.85902994,1465.714,2784.8566,1.9,56.58813004
M,1,15,52.95910633,1.588255808,20.99421999,1483.668,1780.4016,1.2,55.49624326
M,1,15,51.07467855,1.590307471,20.19498076,1458.877,1750.6524,1.2,55.63971275
F,0,15,53.67876176,1.625374141,20.31869433,1376.13,1788.969,1.3,58.12050416
F,0,15,54.2561961,1.618272366,20.71791782,1380.466,2622.8854,1.9,57.61371991
M,1,15,48.09833033,1.597465818,18.84806854,1421.68,1848.184,1.3,56.14173487
F,0,15,50.75925815,1.620706111,19.32443153,1347.309,2020.9635,1.5,57.78714256
M,1,15,52.82371268,1.59018518,20.88976328,1482.777,2817.2763,1.9,55.63115595
M,1,15,50.95494741,1.604434859,19.79439258,1464.3,2196.45,1.5,56.63264677
F,0,15,53.60054503,1.588384265,21.24506449,1369.091,2601.2729,1.9,55.50522061
F,0,15,51.09721359,1.592282665,20.1537972,1345.721,1614.8652,1.2,55.77800988
F,0,15,47.73906888,1.588133447,18.9277922,1312.778,1969.167,1.5,55.4876926
M,1,15,52.8432586,1.598702751,20.67541075,1487.304,2825.8776,1.9,56.22871069
M,1,15,52.29251293,1.599283993,20.44505726,1480.049,2812.0931,1.9,56.26960439
F,0,15,48.45642824,1.610770726,18.67600333,1323.513,1588.2156,1.2,57.0808113
F,0,15,53.72595486,1.596904588,21.06814048,1371.743,1646.0916,1.2,56.10229379
M,1,15,51.37214277,1.599421612,20.08175945,1467.509,2788.2671,1.9,56.27928884
F,0,15,50.75278542,1.598759093,19.85609433,1343.516,2552.6804,1.9,56.23267402
F,0,15,50.56532483,1.6068459,19.58413271,1343.091,2551.8729,1.9,56.80298242
F,0,15,52.98537269,1.611380981,20.40607727,1367.094,2597.4786,1.9,57.12407065
F,0,15,47.96077947,1.597237224,18.7995471,1316.454,2237.9718,1.7,56.12566849
M,1,15,49.28792403,1.618838487,18.80760454,1448.664,2752.4616,1.9,57.65403703
M,1,15,52.07320129,1.624833013,19.72408243,1489.819,2234.7285,1.5,58.08181104
M,1,15,50.9332208,1.606460448,19.73608764,1465.015,2197.5225,1.5,56.77573376
M,1,15,51.21367331,1.605025429,19.88026147,1468.14,2789.466,1.9,56.67434581
F,0,15,51.54937704,1.603885015,20.03904228,1352.034,2568.8646,1.9,56.59383711
F,0,15,53.57545374,1.615635567,20.52480536,1373.482,2609.6158,1.9,57.42612228
F,0,15,52.71242711,1.598914201,20.61876713,1362.355,2043.5325,1.5,56.24358569
F,0,15,52.18721154,1.602405017,20.32448268,1357.906,1629.4872,1.2,56.48944045
F,0,15,51.24811567,1.614197487,19.66819782,1350.895,1621.074,1.2,57.32393759
M,1,15,49.75818745,1.606025798,19.29121216,1448.7,2173.05,1.5,56.745015
M,1,15,50.07741595,1.621640718,19.04287996,1460.881,2775.6739,1.9,57.8538096
M,1,15,50.89793252,1.602301096,19.82494002,1462.452,1754.9424,1.2,56.48211365
M,1,15,53.33254374,1.624576427,20.20747285,1506.944,1959.0272,1.3,58.06346848
F,0,15,53.70535394,1.618363845,20.50525847,1375.193,1787.7509,1.3,57.62023377
F,0,15,48.07180917,1.61586236,18.41118484,1320.686,2245.1662,1.7,57.44224566
F,0,15,52.69503675,1.612149919,20.2749065,1364.438,1773.7694,1.3,57.17860195
M,1,15,52.32275582,1.613586663,20.09583328,1487.615,2231.4225,1.5,57.28056222
F,0,15,47.77423043,1.609917251,18.43259971,1316.819,1580.1828,1.2,57.02033821
F,0,15,47.72988679,1.607928244,18.46107883,1316.055,2500.5045,1.9,56.87953123
M,1,15,54.28516,1.624692706,20.56547102,1520.053,1976.0689,1.3,58.07178056
F,0,15,53.08163244,1.588658053,21.03213755,1364.156,2046.234,1.5,55.52435701
F,0,15,52.51615738,1.61483365,20.13897485,1363.177,2044.7655,1.5,57.36912978
M,1,15,48.0217339,1.62492402,18.18744612,1434.36,1864.668,1.3,58.08831756
M,1,15,49.83895146,1.612833793,19.1597425,1453.211,2179.8165,1.5,57.22712256
M,1,15,51.16579754,1.601803744,19.94165229,1465.873,1759.0476,1.2,56.44705515
F,0,15,52.77003971,1.609396748,20.37329071,1364.69,2047.035,1.5,56.98347363
F,0,15,54.27392128,1.593113871,21.38442428,1376.359,2615.0821,1.9,55.83625973
F,0,15,52.57485556,1.620138763,20.02966393,1364.642,1637.5704,1.2,57.74669145
F,0,15,53.34029291,1.606961053,20.65592719,1369.75,1780.675,1.3,56.81112417
F,0,15,48.38509819,1.59481395,19.02355047,1320.115,1980.1725,1.5,55.95549377
